Post Content,Sentiment Label,Number of Likes,Number of Shares,Number of Comments,Post Date and Time,Post Type
center everything better political various court realize arrive story understand least already forget major result condition relationship approach though million carry challenge carry,Neutral,157,243,64,2024-01-10 00:14:21,video
begin administration population president particularly study central agent energy reach third place identify nature financial civil watch maybe subject letter follow theory write indicate perhaps,Positive,166,49,121,2024-02-03 00:20:11,image
thousand total agree product relationship several conference allow behind usually around business member various difficult table reveal,Positive,185,224,179,2024-07-25 14:20:23,video
individual third forget different account white region building direction amount eight second amount support trial rather always energy television majority meeting everybody,Neutral,851,369,39,2024-02-20 09:15:09,text
adult letter reduce attention suddenly agency decade friend value president follow bring practice truth scientist party ahead assume degree cause,Negative,709,356,52,2024-03-01 04:17:35,image
compare attack camera better example within market campaign world various decision measure brother community matter special clearly value dinner,Positive,789,231,177,2024-05-08 03:20:35,image
sound heavy south officer surface behind maybe improve remain operation responsibility group scene history surface memory recently special eight,Positive,639,163,175,2024-03-17 07:07:39,video
arrive large small difference officer control purpose become realize bring pressure detail certainly heavy growth friend shake player carry,Positive,828,34,161,2024-07-24 13:03:22,image
small thank thank protect employee scientist simply nation western economy course former expect market career truth always table chance somebody level fight,Neutral,924,153,2,2024-01-08 05:42:54,image
month leader subject message institution green focus manager development thousand organization attorney phone interview include discus health trial think wonder school moment political,Positive,169,22,77,2024-02-06 03:30:12,video
audience light federal institution available social affect scene matter citizen people probably along travel carry health happen modern course often brother environmental economic police decide,Neutral,738,414,107,2024-02-28 06:40:33,text
computer father policy attorney money inside investment really federal exist group great short customer reflect stuff great others seven expert sport serious board central place movement medium,Neutral,448,363,169,2024-01-25 20:16:27,image
listen middle general right local southern music recent general police possible continue amount great eight everyone audience property offer require positive,Neutral,44,58,25,2024-04-18 16:27:44,text
suggest control report south trial agreement young structure smile animal station surface design century factor forward throughout claim charge tv worry shake article memory cover trouble marriage effect,Positive,420,11,169,2024-02-24 14:59:08,video
partner doctor white technology speech foreign activity catch physical language business arrive every station including shoulder become score example theory class story reach camera story short three,Neutral,373,434,133,2024-02-27 19:03:27,video
often blood floor might development score decade story color fight material light language state sense behind agent recent moment authority professor,Negative,692,175,69,2024-03-24 23:24:03,text
employee prevent surface economic surface special opportunity meeting century assume father suddenly score social trade certainly special happy method record economic,Positive,736,331,159,2024-03-11 01:20:42,image
strong newspaper expert civil character painting sense guess major night election successful expert pretty laugh business reach short similar experience enough,Positive,243,55,155,2024-05-29 07:03:45,image
dream begin hotel environment energy environment employee model light today movement around chance agency ground think mother single pm,Positive,992,346,179,2024-06-05 02:35:56,video
continue better trial thought could population audience thought prove success treatment large computer surface economic something level consider prevent thing summer challenge determine,Positive,454,409,35,2024-07-01 07:15:50,video
final first increase throw become state language force expect resource close response event generation control north certainly reason tough activity concern trade notice something success later foreign ahead,Positive,625,84,107,2024-05-04 03:15:05,image
building performance point anything support purpose democratic represent treat break something article reach table policy quite condition several foreign remember write wrong seven outside style,Neutral,291,476,26,2024-01-20 16:09:26,text
really southern begin surface impact weight require share congress require reason middle score school,Neutral,770,379,130,2024-07-16 22:33:36,video
around message image house eight enough right minute message resource century white small check member century point family since coach share,Positive,766,124,184,2024-07-30 01:20:05,image
contain thank process minute soldier imagine program suggest mr board heavy strong government recognize whether family generation enough better republican wrong mother support present black,Neutral,802,264,158,2024-04-25 19:26:58,image
agree necessary young traditional least character cultural recent peace activity catch leader message opportunity central follow,Positive,459,89,30,2024-01-28 03:10:07,image
hospital community today receive charge owner southern offer recognize house happy organization place military later reduce fight build morning newspaper western laugh memory today challenge,Neutral,239,282,72,2024-05-05 04:41:29,text
effect almost nature middle successful quite pm tough company value relationship stock technology reason produce successful,Neutral,546,81,29,2024-08-30 00:36:59,image
issue personal throw assume interesting mouth decision player parent cover house father marriage apply avoid exist evidence chair environmental believe section necessary however relationship beyond,Neutral,244,169,200,2024-07-08 05:10:43,video
describe american director southern others science early state dinner around plant style value remain shoulder health market beautiful,Neutral,316,286,27,2024-08-30 20:13:37,text
assume alone light structure speech choose effort organization black response politics practice remember clearly director wrong response suffer financial phone condition energy effort several,Negative,988,218,127,2024-04-30 15:45:47,video
property identify similar along throughout movie authority parent detail first pm child employee young school hospital chance federal,Positive,828,490,50,2024-05-02 19:41:10,text
others interest significant report detail another enter energy decide generation friend value prepare everyone north every others indeed research product really indicate professor style professional,Negative,803,236,155,2024-03-18 07:44:39,image
security mission speech imagine factor owner together stock especially cultural church check design certain response cause player suggest figure entire owner appear hotel really,Neutral,480,118,51,2024-02-13 14:42:13,image
concern million study major maybe whole collection interview machine election education serve decade avoid property reveal north policy sense machine trade middle truth stage discover decide democratic notice,Negative,925,408,199,2024-05-01 00:02:51,text
mouth forward return standard never conference budget conference building something really american season director option degree control choice simple since,Positive,855,207,67,2024-08-29 04:05:01,image
